"Volume Ekspor Menurut Negara/Wilayah/Entitas tertentu Tujuan Utama (Berat bersih: ribu ton), 2000-2024",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Negara/Wilayah/Entitas tertentu Tujuan,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Meksiko, - , - , 161.1 , 134.6 , 136.9 , 105.0 , 113.1 , 114.4 , 258.6 , 194.8 ," 1,700.6 ", 500.2 , 589.8 , 741.5 , 424.8 , 447.9 , 471.0 , 565.1 , 394.6 , 558.4 , 839.5 , 793.9 , 841.5 ," 1,141.1 "," 1,016.4 "
Amerika Lainnya," 2,282.7 "," 2,512.8 "," 1,219.4 ", 897.0 ," 1,799.6 "," 2,183.7 "," 3,159.9 "," 2,773.8 "," 1,563.4 "," 1,732.4 "," 2,267.3 "," 1,881.8 "," 1,472.0 "," 1,479.2 "," 1,533.6 "," 1,426.4 "," 1,264.8 "," 1,253.6 "," 1,403.2 "," 1,276.8 "," 1,475.1 "," 2,104.1 "," 1,852.3 "," 2,070.6 "," 2,746.8 "
,,,,,,,,,,,,,,,,,,,,,,,,,
EROPA,,,,,,,,,,,,,,,,,,,,,,,,,
Uni Eropa," 16,405.7 "," 16,758.5 "," 18,461.4 "," 19,096.5 "," 19,223.7 "," 23,415.8 "," 33,070.8 "," 24,038.4 "," 27,182.9 "," 25,085.4 "," 20,843.0 "," 22,537.6 "," 20,598.8 "," 18,140.3 "," 18,116.6 "," 18,317.0 "," 15,781.4 "," 15,932.8 "," 18,420.7 "," 13,261.4 "," 10,056.8 "," 10,744.9 "," 17,266.4 "," 13,455.1 "," 12,131.0 "
Belanda," 5,528.5 "," 5,305.4 "," 4,840.6 "," 3,983.7 "," 3,987.0 "," 5,739.7 "," 9,329.1 "," 4,394.2 "," 7,482.4 "," 7,054.3 "," 6,039.3 "," 6,788.9 "," 4,828.2 "," 4,480.4 "," 4,043.6 "," 4,467.2 "," 3,627.0 "," 4,552.5 "," 5,059.6 "," 4,711.7 "," 3,771.6 "," 4,218.8 "," 5,801.8 "," 4,177.7 "," 3,956.2 "
Perancis, 272.1 , 438.5 , 608.6 , 725.0 , 718.5 , 719.9 , 770.1 , 353.0 , 242.7 , 212.4 , 267.8 , 222.6 , 210.0 , 205.3 , 253.7 , 233.2 , 245.5 , 305.0 , 263.9 , 353.8 , 385.8 , 258.8 , 321.8 , 326.1 , 284.1 
Jerman," 1,107.8 "," 1,066.3 "," 1,032.8 "," 1,393.6 "," 1,550.0 "," 1,292.1 "," 1,442.9 "," 1,294.7 "," 1,196.7 "," 1,120.3 "," 1,037.3 ", 866.8 , 823.7 , 890.9 , 719.8 , 774.4 , 744.6 , 735.5 , 660.7 , 647.5 , 630.7 , 657.8 , 678.0 , 558.7 , 491.1 
Belgia, 470.1 , 729.7 , 750.0 , 576.1 , 469.0 , 407.8 , 580.7 , 820.6 , 633.1 , 377.4 , 316.7 , 303.1 , 316.9 , 342.5 , 303.5 , 294.4 , 353.8 , 305.2 , 362.1 , 373.7 , 287.9 , 505.5 , 759.1 , 605.4 , 845.9 
Denmark, 49.2 , 48.5 , 350.2 , 77.0 , 77.4 , 99.6 , 691.1 , 59.0 , 75.4 , 120.0 , 89.5 , 108.9 , 89.0 , 93.3 , 92.5 , 95.1 , 81.6 , 102.8 , 238.8 , 111.6 , 67.0 , 70.3 , 101.2 , 46.7 , 75.8 
